547,-0.0078125,-0.054688,-0.046875
548,0.0078125,0.0,-0.070313
549,-0.054688,-0.054688,-0.10938
550,0.023438,0.023438,-0.03125
551,-0.0078125,0.0078125,-0.03125
552,-0.039063,-0.046875,-0.078125
553,0.023438,0.0078125,-0.015625
554,0.0,0.015625,0.015625
555,-0.015625,0.0,-0.0625
556,0.015625,0.0,-0.023438
557,-0.023438,0.0,-0.03125
558,-0.039063,-0.03125,-0.0078125
559,0.0,0.023438,0.0
560,-0.023438,-0.03125,-0.015625
561,0.0078125,0.0,0.03125
562,-0.023438,0.0078125,0.015625
563,-0.015625,0.0078125,-0.0078125
564,-0.015625,-0.015625,-0.03125
565,0.015625,0.0078125,0.0
566,0.015625,-0.015625,-0.015625
567,0.015625,0.015625,0.0078125
568,-0.015625,-0.085938,-0.0625
569,0.0,0.03125,0.0078125
570,-0.0078125,0.0078125,0.0
571,-0.015625,-0.023438,-0.023438
572,0.015625,0.0,0.0
573,0.0,0.0,0.015625
574,-0.0078125,-0.023438,-0.039063
575,0.0078125,-0.0078125,-0.023438
576,0.0,-0.0078125,-0.03125
577,0.0,-0.0078125,0.039063
578,-0.0078125,0.0,-0.0078125
579,-0.03125,-0.023438,0.0
580,0.0,0.0,0.0078125
581,0.0078125,0.015625,-0.0078125
582,-0.015625,-0.03125,0.0078125
583,0.0,-0.023438,-0.0625
584,0.0078125,0.03125,0.023438
585,-0.0078125,-0.046875,-0.054688
586,-0.0078125,0.015625,0.015625
587,0.0,0.0078125,-0.023438
588,-0.015625,-0.046875,-0.03125
589,0.015625,0.023438,0.0078125
590,-0.03125,-0.015625,-0.023438
591,0.0,0.0078125,0.0078125
592,-0.046875,-0.03125,-0.0625
593,-0.023438,0.0,0.0078125
594,-0.0078125,-0.015625,-0.015625
595,-0.0078125,0.0078125,0.046875
596,-0.0078125,-0.0078125,-0.0078125
597,-0.015625,0.0,0.0078125
598,-0.015625,-0.023438,-0.0078125
599,-0.023438,-0.03125,0.0078125
600,-0.015625,-0.0078125,-0.015625
601,-0.023438,0.054688,0.03125
602,-0.023438,-0.03125,-0.046875
603,0.0,-0.0078125,-0.015625
604,-0.0078125,-0.015625,-0.039063
605,-0.023438,-0.023438,-0.046875
606,0.015625,0.023438,0.0
607,-0.023438,-0.054688,-0.0078125
608,-0.015625,0.0,0.046875
609,0.0,-0.046875,-0.023438
610,-0.0078125,-0.023438,-0.0078125
611,0.0078125,-0.0078125,0.015625
612,-0.0078125,-0.0078125,-0.054688
613,-0.023438,-0.015625,-0.0078125
614,-0.0078125,-0.0078125,-0.023438
615,-0.015625,0.015625,-0.015625
616,0.0,0.0,0.023438
617,-0.015625,0.0,-0.0078125
618,0.0,-0.023438,-0.0078125
619,-0.023438,-0.015625,-0.023438
620,-0.015625,-0.023438,-0.0625
621,-0.015625,-0.0078125,-0.0078125
622,-0.039063,-0.015625,0.023438
623,0.0,0.0,-0.0078125
624,-0.0078125,-0.023438,0.015625
625,-0.015625,-0.015625,-0.015625
626,0.0078125,0.03125,-0.023438
627,-0.03125,-0.046875,-0.0078125
628,-0.0078125,-0.015625,-0.023438
629,-0.015625,-0.046875,-0.03125
630,-0.0078125,-0.015625,-0.023438
631,-0.0078125,0.0,-0.0078125
632,0.0078125,0.0078125,0.03125
633,-0.015625,0.0,-0.023438
634,0.0,0.0,0.0
635,-0.015625,-0.023438,-0.023438
636,-0.0078125,-0.0078125,-0.0078125
637,-0.023438,-0.054688,-0.039063
638,0.023438,0.023438,-0.023438
639,0.0,0.039063,0.03125
640,-0.023438,-0.046875,0.0078125
641,-0.0078125,-0.015625,-0.046875
642,0.0,0.0,0.0
643,-0.023438,-0.0078125,-0.023438
